ConceptID,ConceptLabel,Session,Unit,Status,TaxonomyID,Prerequisites
1,Algebra Fundamentals,A0,0,assumed,FOUND,
2,Units and Dimensional Analysis,A0,0,assumed,FOUND,
3,Significant Figures,A0,0,assumed,FOUND,
4,Ratios and Percentages,A0,0,assumed,FOUND,
5,Reading Plots and Graphs,A0,0,assumed,FOUND,
6,Static Equilibrium,A0,0,assumed,FOUND,
7,Stress and Strain Basics,A0,0,assumed,FOUND,
8,Beam Bending Basics,A0,0,assumed,FOUND,
9,Spreadsheet Basics,A0,0,assumed,FOUND,
10,Tables and CSV Files,A0,0,assumed,FOUND,
11,Using a Chat Assistant,A0,0,assumed,FOUND,
12,Engineering Codes and Standards,A0,0,assumed,FOUND,
13,Artificial Intelligence,W1Tu,1,taught,AIF,Using a Chat Assistant
14,Rule-Based Systems,W1Tu,1,taught,AIF,Algebra Fundamentals
15,Machine Learning,W1Tu,1,taught,AIF,Artificial Intelligence
16,Training Data,W1Tu,1,taught,AIF,Machine Learning
17,Learned Patterns,W1Tu,1,taught,AIF,Machine Learning; Training Data
18,Model Inputs and Outputs,W1Tu,1,taught,AIF,Machine Learning
19,Rules Versus Learned Patterns,W1Tu,1,taught,AIF,Rule-Based Systems; Learned Patterns
20,Statistics for Engineers,W1Th,1,taught,STAT,Ratios and Percentages
21,Measurement,W1Th,1,taught,STAT,Units and Dimensional Analysis; Statistics for Engineers
22,Repeated Measurements,W1Th,1,taught,STAT,Measurement
23,Range of Readings,W1Th,1,taught,STAT,Repeated Measurements
24,Random Versus Systematic Error,W1Th,1,taught,STAT,Range of Readings; Measurement
25,Uncertainty Propagation,W1Th,1,taught,STAT,Range of Readings; Algebra Fundamentals
26,Instrument Resolution,W1Th,1,taught,STAT,Measurement; Significant Figures
27,Beam Deflection Measurement,W1Th,1,taught,ENG,Beam Bending Basics; Repeated Measurements
28,Large Language Model,W2Tu,1,taught,LLM,Artificial Intelligence; Machine Learning
29,Tokens,W2Tu,1,taught,LLM,Large Language Model
30,Probability Basics,W2Tu,1,implied,STAT,Ratios and Percentages
31,Next-Token Prediction,W2Tu,1,taught,LLM,Tokens; Probability Basics
32,Sampling and Temperature,W2Tu,1,taught,LLM,Next-Token Prediction
33,Prompts,W2Tu,1,taught,LLM,Large Language Model; Using a Chat Assistant
34,Hallucination,W2Tu,1,taught,LLM,Next-Token Prediction
35,Checking Output Against Source,W2Tu,1,taught,VER,Hallucination; Engineering Codes and Standards
36,Data Sets and Variables,W2Th,1,taught,STAT,Tables and CSV Files; Spreadsheet Basics
37,Mean,W2Th,1,taught,STAT,Data Sets and Variables; Algebra Fundamentals
38,Variance,W2Th,1,taught,STAT,Mean
39,Standard Deviation,W2Th,1,taught,STAT,Variance
40,Coefficient of Variation,W2Th,1,taught,STAT,Standard Deviation; Mean; Ratios and Percentages
41,Sample Versus Population,W2Th,1,implied,STAT,Data Sets and Variables
42,Uncertainty From Spread,W2Th,1,taught,STAT,Standard Deviation; Uncertainty Propagation
43,Concrete Cylinder Strength Data,W2Th,1,taught,ENG,Data Sets and Variables; Stress and Strain Basics
44,AI Agent,W3Tu,1,taught,AGT,Large Language Model; Prompts
45,Tool Use,W3Tu,1,taught,AGT,AI Agent
46,Multi-Step Planning,W3Tu,1,taught,AGT,AI Agent
47,Agent Action Loop,W3Tu,1,taught,AGT,Tool Use; Multi-Step Planning
48,Context Window,W3Tu,1,taught,LLM,Tokens
49,Sensor Data Stream,W3Tu,1,taught,DATA,Data Sets and Variables
50,Threshold Check,W3Tu,1,taught,DATA,Rule-Based Systems; Sensor Data Stream
51,Agent-Drafted Inspection Flag,W3Tu,1,taught,AGT,Agent Action Loop; Threshold Check
52,Distribution,W3Th,1,taught,STAT,Data Sets and Variables; Probability Basics
53,Histogram,W3Th,1,taught,STAT,Distribution; Reading Plots and Graphs
54,Normal Distribution,W3Th,1,taught,STAT,Distribution; Mean; Standard Deviation
55,Skewed Distribution,W3Th,1,taught,STAT,Distribution; Mean
56,Outliers,W3Th,1,taught,STAT,Distribution; Standard Deviation
57,Fatigue Test Data,W3Th,1,taught,ENG,Data Sets and Variables; Stress and Strain Basics
58,Auditing an Agent's Analysis,W3Th,1,taught,VER,Agent Action Loop; Distribution; Hallucination
59,AI Bias,W4Tu,2,taught,BIAS,Machine Learning; Training Data
60,Training Data Bias,W4Tu,2,taught,BIAS,AI Bias; Training Data
61,Representative Sample,W4Tu,2,taught,BIAS,Training Data; Sample Versus Population
62,Distribution Shift,W4Tu,2,taught,BIAS,Distribution; Training Data Bias
63,Out-of-Domain Use,W4Tu,2,taught,BIAS,Distribution Shift
64,Damage Detection Model,W4Tu,2,taught,ENG,Learned Patterns; Training Data
65,Training Coverage Gap,W4Tu,2,taught,BIAS,Damage Detection Model; Representative Sample
66,Scatter Plot,W4Th,2,taught,INF,Reading Plots and Graphs; Data Sets and Variables
67,Correlation Coefficient,W4Th,2,taught,INF,Scatter Plot; Standard Deviation
68,Linear Regression,W4Th,2,taught,INF,Correlation Coefficient; Algebra Fundamentals
69,R-Squared,W4Th,2,taught,INF,Correlation Coefficient; Linear Regression
