V01Label,V01Session,Disposition,Detail
Algebra Fundamentals,A0,kept: expected on entry,
Units and Dimensional Analysis,A0,kept: expected on entry,
Significant Figures,A0,kept: expected on entry,
Ratios and Percentages,A0,kept: expected on entry,
Reading Plots and Graphs,A0,kept: expected on entry,
Static Equilibrium,A0,lab-supplied reference card,
Stress and Strain Basics,A0,lab-supplied reference card,
Beam Bending Basics,A0,lab-supplied reference card,
Spreadsheet Basics,A0,kept: expected on entry,
Tables and CSV Files,A0,kept: expected on entry,
Using a Chat Assistant,A0,kept: expected on entry,
Engineering Codes and Standards,A0,kept: expected on entry,
Artificial Intelligence,W1Tu,kept: taught,
Rule-Based Systems,W1Tu,kept: taught,
Machine Learning,W1Tu,kept: taught,
Training Data,W1Tu,kept: taught,
Learned Patterns,W1Tu,kept: taught,
Model Inputs and Outputs,W1Tu,merged,Machine Learning
Rules Versus Learned Patterns,W1Tu,kept: taught,
Statistics for Engineers,W1Th,merged,Measurement
Measurement,W1Th,kept: taught,
Repeated Measurements,W1Th,kept: taught,
Range of Readings,W1Th,kept: taught,
Random Versus Systematic Error,W1Th,kept: taught,
Uncertainty Propagation,W1Th,kept: taught,
Instrument Resolution,W1Th,kept: taught,
Beam Deflection Measurement,W1Th,lab example (not a graded concept),
Large Language Model,W2Tu,kept: taught,
Tokens,W2Tu,merged,Large Language Model
Probability Basics,W2Tu,kept: hole filled and taught,hole: probability
Next-Token Prediction,W2Tu,kept: taught,
Sampling and Temperature,W2Tu,kept: taught,
Prompts,W2Tu,kept: taught,
Hallucination,W2Tu,kept: taught,
Checking Output Against Source,W2Tu,kept: taught,
Data Sets and Variables,W2Th,kept: taught,
Mean,W2Th,kept: taught,
Variance,W2Th,merged,Standard Deviation
Standard Deviation,W2Th,kept: taught,
Coefficient of Variation,W2Th,kept: taught,
Sample Versus Population,W2Th,kept: hole filled and taught,hole: sampling
Uncertainty From Spread,W2Th,kept: taught,
Concrete Cylinder Strength Data,W2Th,lab example (not a graded concept),
AI Agent,W3Tu,kept: taught,
Tool Use,W3Tu,kept: taught,
Multi-Step Planning,W3Tu,kept: taught,
Agent Action Loop,W3Tu,kept: taught,
