ConceptID,ConceptLabel,Meeting,Unit,Status,TaxonomyID,OldSession,Prerequisites
1,Algebra Fundamentals,A0,0,assumed,FOUND,A0,
2,Units and Dimensional Analysis,A0,0,assumed,FOUND,A0,
3,Significant Figures,A0,0,assumed,FOUND,A0,
4,Ratios and Percentages,A0,0,assumed,FOUND,A0,
5,Reading Plots and Graphs,A0,0,assumed,FOUND,A0,
6,Static Equilibrium,A0,0,supplied,FOUND,A0,
7,Stress and Strain Basics,A0,0,supplied,FOUND,A0,
8,Beam Bending Basics,A0,0,supplied,FOUND,A0,
9,Spreadsheet Basics,A0,0,assumed,FOUND,A0,
10,Tables and CSV Files,A0,0,assumed,FOUND,A0,
11,Using a Chat Assistant,A0,0,assumed,FOUND,A0,
12,Engineering Codes and Standards,A0,0,assumed,FOUND,A0,
13,Artificial Intelligence,M01,1,taught,AIF,W1Tu,Using a Chat Assistant
14,Rule-Based Systems,M01,1,taught,AIF,W1Tu,Algebra Fundamentals
15,Machine Learning,M01,1,taught,AIF,W1Tu,Artificial Intelligence
16,Training Data,M01,1,taught,AIF,W1Tu,Machine Learning
17,Learned Patterns,M01,1,taught,AIF,W1Tu,Machine Learning; Training Data
18,Rules Versus Learned Patterns,M01,1,taught,AIF,W1Tu,Rule-Based Systems; Learned Patterns
19,Measurement and Why It Matters,M02,1,taught,STAT,W1Th,Units and Dimensional Analysis; Ratios and Percentages
20,Repeated Measurements,M02,1,taught,STAT,W1Th,Measurement and Why It Matters
21,Range of Readings,M02,1,taught,STAT,W1Th,Repeated Measurements
22,Systematic Error and Accuracy,M02,1,taught,STAT,W1Th,Range of Readings; Measurement and Why It Matters
23,Uncertainty Propagation,M02,1,taught,STAT,W1Th,Range of Readings; Algebra Fundamentals
24,Instrument Resolution,M02,1,taught,STAT,W1Th,Measurement and Why It Matters; Significant Figures
25,Large Language Models and Tokens,M03,1,taught,LLM,W2Tu,Artificial Intelligence; Machine Learning
26,Probability Basics,M03,1,filled,STAT,W2Tu,Ratios and Percentages
27,Next-Token Prediction,M03,1,taught,LLM,W2Tu,Large Language Models and Tokens; Probability Basics
28,Sampling and Temperature,M03,1,taught,LLM,W2Tu,Next-Token Prediction
29,Prompts,M03,1,taught,LLM,W2Tu,Large Language Models and Tokens; Using a Chat Assistant
30,Hallucination,M03,1,taught,LLM,W2Tu,Next-Token Prediction
31,Checking Output Against Source,M03,1,taught,VER,W2Tu,Hallucination; Engineering Codes and Standards
32,Data Sets and Variables,M04,1,taught,STAT,W2Th,Tables and CSV Files; Spreadsheet Basics
33,Mean,M04,1,taught,STAT,W2Th,Data Sets and Variables; Algebra Fundamentals
34,Variance and Standard Deviation,M04,1,taught,STAT,W2Th,Mean
35,Coefficient of Variation,M04,1,taught,STAT,W2Th,Variance and Standard Deviation; Mean; Ratios and Percentages
36,Sample Versus Population,M04,1,filled,STAT,W2Th,Data Sets and Variables
37,Uncertainty From Spread,M04,1,taught,STAT,W2Th,Variance and Standard Deviation; Uncertainty Propagation
38,AI Agent,M05,1,taught,AGT,W3Tu,Large Language Models and Tokens; Prompts
39,Tool Use,M05,1,taught,AGT,W3Tu,AI Agent
40,Multi-Step Planning,M05,1,taught,AGT,W3Tu,AI Agent
41,Agent Action Loop,M05,1,taught,AGT,W3Tu,Tool Use; Multi-Step Planning
42,Sensor Data Stream,M05,1,taught,DATA,W3Tu,Data Sets and Variables
43,Threshold Check,M05,1,taught,DATA,W3Tu,Rule-Based Systems; Sensor Data Stream
44,Distribution,M06,1,taught,STAT,W3Th,Data Sets and Variables; Probability Basics
45,Histogram,M06,1,taught,STAT,W3Th,Distribution; Reading Plots and Graphs
46,Normal Distribution,M06,1,taught,STAT,W3Th,Distribution; Mean; Variance and Standard Deviation
47,Skewed Distribution,M06,1,taught,STAT,W3Th,Distribution; Mean
48,Outliers,M06,1,taught,STAT,W3Th,Distribution; Variance and Standard Deviation
49,Auditing an Agent's Analysis,M06,1,taught,VER,W3Th,Agent Action Loop; Distribution; Hallucination
50,AI Bias,M07,2,taught,BIAS,W4Tu,Machine Learning; Training Data
51,Training Data Bias,M07,2,taught,BIAS,W4Tu,AI Bias; Training Data
52,Representative Sample,M07,2,taught,BIAS,W4Tu,Training Data; Sample Versus Population
