ConceptID,ConceptLabel,TaxonomyID,Definition,ReviewStatus,ReviewNote
1,Algebra Fundamentals,FOUND,"Rearranging equations and solving for an unknown symbol, such as turning stress = F/A into A = F/stress.",rewritten,"Qwen described arithmetic, not algebra."
2,Units and Dimensional Analysis,FOUND,Tracking units through a calculation and converting between them; both sides of an equation must have matching dimensions.,edited,
3,Significant Figures,FOUND,Counting only the digits in a number that carry meaningful precision about an engineering value.,kept,
4,Ratios and Percentages,FOUND,"Comparing two quantities as a fraction (ratio) or as parts per hundred (percent), such as 5% of a 200 kN load.",edited,
5,Reading Plots and Graphs,FOUND,"Reading values, slopes, and trends off a graph, such as load versus displacement, and checking what the axes and units say.",rewritten,Qwen claimed plots predict failure points.
6,Static Equilibrium,FOUND,"A body at rest: forces sum to zero and moments sum to zero, so it neither moves nor rotates.",rewritten,Qwen left out moments.
7,Stress and Strain Basics,FOUND,"Stress is force per unit area (Pa or MPa); strain is fractional stretch, change in length divided by original length.",rewritten,Qwen defined stress only.
8,Beam Bending Basics,FOUND,How a beam curves and develops tension and compression when loaded; maximum bending stress is M times c divided by I.,edited,
9,Spreadsheet Basics,FOUND,Organizing data in rows and columns to automate repetitive engineering calculations for design checks.,kept,
10,Tables and CSV Files,FOUND,A table holds records in rows and variables in columns; a CSV file stores one as plain text with values separated by commas.,rewritten,Qwen left out tables.
11,Using a Chat Assistant,FOUND,Asking an AI chat tool questions in plain language and checking its answers yourself before relying on them.,edited,
12,Engineering Codes and Standards,FOUND,"Published requirements (codes, often adopted into law) and consensus documents (standards) that set minimum safety and performance criteria for designs.",edited,Qwen merged codes and standards.
13,Artificial Intelligence,AIF,"Computer systems that perform tasks normally needing human judgment, such as recognizing images or writing text.",rewritten,Qwen conflated AI with machine learning.
14,Rule-Based Systems,AIF,Computer programs that make decisions using explicit if-then logic written by humans rather than learning from examples.,kept,
15,Machine Learning,AIF,Algorithms that improve at a task by finding patterns in example data instead of following hand-written rules.,edited,
16,Training Data,AIF,"The example data a model learns from; its quality, coverage, and bias limit what the model can do.",edited,
17,Learned Patterns,AIF,Statistical regularities a model extracts from training data; they may not match any cause a person can name.,edited,
18,Rules Versus Learned Patterns,AIF,"Rules are written by a person and behave predictably; learned patterns come from data, handle messy inputs, but can fail in unwritten ways.",edited,
19,Measurement and Why It Matters,STAT,"Assigning a number and unit to a physical quantity with an instrument; design decisions rest on these numbers, which are never exact.",edited,
20,Repeated Measurements,STAT,Measuring the same quantity several times to see how much readings scatter and to average out random variation.,edited,
21,Range of Readings,STAT,Finding the difference between the highest and lowest values in a set of experimental data points.,kept,
22,Systematic Error and Accuracy,STAT,"A consistent offset, such as a mis-zeroed scale, that pushes every reading the same way; accuracy is closeness to the true value.",edited,
23,Uncertainty Propagation,STAT,Working out how the uncertainties in input measurements combine to give the uncertainty of a calculated result.,edited,Qwen said errors always grow.
24,Instrument Resolution,STAT,"The smallest change a device can detect, limiting the precision of data collected from sensors or gauges.",kept,
25,Large Language Models and Tokens,LLM,"AI models trained on huge text collections that read and write text in tokens, small chunks of a word (about three-quarters of a word each).",rewritten,Qwen omitted what an LLM is.
26,Probability Basics,STAT,A number from 0 (never) to 1 (certain) for how likely an event is; the chance of not-A is 1 minus the chance of A.,edited,
27,Next-Token Prediction,LLM,"How a language model writes: given the text so far, it assigns probabilities to possible next tokens, picks one, and repeats.",rewritten,Qwen implied it always picks the most probable word.
28,Sampling and Temperature,LLM,"Settings for picking the next token: low temperature favors the top choice (consistent), high temperature adds randomness (varied).",edited,
29,Prompts,LLM,Text instructions given to an AI model that shape the style and content of what it produces.,edited,
30,Hallucination,LLM,"When an AI states something false or invented, such as a citation or a number, in a fluent, confident tone.",edited,
31,Checking Output Against Source,VER,Comparing AI results to a trusted reference to ensure the answer is accurate and grounded in fact.,kept,
32,Data Sets and Variables,STAT,"A data set is a collection of observations, one per row; each property recorded for them is a variable, one per column.",edited,
33,Mean,STAT,The average value calculated by summing all measurements and dividing by the total count.,kept,
34,Variance and Standard Deviation,STAT,Measures of how much data points differ from the average; standard deviation is the square root of variance.,kept,
35,Coefficient of Variation,STAT,"The ratio of the standard deviation to the mean, used to compare variability between different datasets.",kept,
36,Sample Versus Population,STAT,"The population is everything you want to know about; the sample is the part you actually measured, used to estimate the whole.",rewritten,Qwen defined only the sample.
37,Uncertainty From Spread,STAT,"Using the scatter of repeated readings, such as their standard deviation, to state how uncertain a measured value is.",edited,
38,AI Agent,AGT,"An AI system that works toward a goal you give it by choosing and taking steps, such as running tools, with little step-by-step human input.",edited,Qwen said agents set their own goals.
39,Tool Use,AGT,"The ability of an AI to trigger external software, like a calculator, to get precise results.",kept,
40,Multi-Step Planning,AGT,"The process where an AI breaks a complex goal into a sequence of smaller, logical steps.",kept,
41,Agent Action Loop,AGT,"A cycle where an AI observes a result, thinks about the next step, and acts until a task is done.",kept,
42,Sensor Data Stream,DATA,"A continuous flow of timestamped readings from a sensor, such as strain or temperature, arriving as the measurement happens.",edited,
43,Threshold Check,DATA,Comparing a measurement against a set limit to trigger an alert if a value is too high or low.,kept,
44,Distribution,STAT,"A description of how often each value, or range of values, occurs in a data set.",edited,
45,Histogram,STAT,A bar graph that shows the frequency of data falling within specific numerical ranges.,kept,
46,Normal Distribution,STAT,A symmetric bell-shaped distribution with most values near the mean and few far away; described by its mean and standard deviation.,edited,
47,Skewed Distribution,STAT,"A lopsided distribution with a long tail on one side, so the mean and the median differ.",edited,Qwen's wording was vague about the tail.
48,Outliers,STAT,"Data points far from the rest; they may be mistakes or real events, so investigate before deleting them.",edited,Qwen implied they are errors.
49,Auditing an Agent's Analysis,VER,"Checking each step an AI agent took, including its data, code, and numbers, for mistakes before relying on its conclusion.",edited,
50,AI Bias,BIAS,"Systematic errors in AI output caused by flawed data, leading to incorrect or unfair results.",kept,
51,Training Data Bias,BIAS,Errors introduced when the data used to teach an AI does not accurately represent the real world.,kept,
52,Representative Sample,BIAS,A small group that accurately reflects the characteristics of the entire population being studied.,kept,
53,Distribution Shift,BIAS,When the data an AI encounters in the real world differs from the data it was trained on.,kept,
54,Out-of-Domain Use,BIAS,Applying an AI to a problem or material it was not specifically designed or trained to handle.,kept,
55,Training Coverage Gap,BIAS,"A lack of specific scenarios in the training set, leaving the AI unable to handle those cases.",kept,
